""	"ACC2SURV_ACCID"	"ANS2SURV_ID"	"IMPACT"	"OCCURRENCE"	"X1PCT"	"Y1PCT"	"X2PCT"	"Y2PCT"	"QUES2SURV_QUESID"	"QUES2SURV_METHOD"	"X1Pixel"	"X2Pixel"	"Y1Pixel"	"Y2Pixel"	"ClassicGrid"	"getlowx"	"gethighx"	"getlowy"	"gethighy"	"hitOcc"	"hitImp"
"142"	346	139430	NA	NA	""	""	""	""	343	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"143"	346	139431	NA	NA	""	""	""	""	325	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"144"	346	139432	NA	NA	""	""	""	""	325	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"145"	346	139433	NA	NA	""	""	""	""	326	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"146"	346	139434	NA	NA	""	""	""	""	326	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"147"	346	139435	NA	NA	""	""	""	""	327	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"148"	346	139436	NA	NA	""	""	""	""	327	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"149"	346	139437	NA	NA	""	""	""	""	328	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"150"	346	139438	NA	NA	""	""	""	""	328	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"151"	346	139439	NA	NA	""	""	""	""	329	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"152"	346	139440	NA	NA	""	""	""	""	329	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"153"	346	139441	NA	NA	""	""	""	""	330	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"154"	346	139442	NA	NA	""	""	""	""	330	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"155"	346	139443	NA	NA	""	""	""	""	331	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"156"	346	139444	NA	NA	""	""	""	""	331	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"157"	346	139445	NA	NA	""	""	""	""	332	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"158"	346	139446	NA	NA	""	""	""	""	332	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"159"	346	139447	NA	NA	""	""	""	""	333	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"160"	346	139448	NA	NA	""	""	""	""	333	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"161"	346	139449	NA	NA	""	""	""	""	334	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"162"	346	139450	NA	NA	""	""	""	""	334	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"163"	346	139451	NA	NA	""	""	""	""	335	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"164"	346	139452	NA	NA	""	""	""	""	335	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"165"	346	139453	NA	NA	""	""	""	""	336	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"166"	346	139454	NA	NA	""	""	""	""	336	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"167"	346	139455	NA	NA	""	""	""	""	337	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"168"	346	139456	NA	NA	""	""	""	""	337	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"169"	346	139457	NA	NA	""	""	""	""	338	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"170"	346	139458	NA	NA	""	""	""	""	338	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"171"	346	139459	NA	NA	""	""	""	""	339	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"172"	346	139460	NA	NA	""	""	""	""	339	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"173"	41	139461	NA	NA	""	""	""	""	344	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"174"	41	139462	NA	NA	""	""	""	""	344	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
