BenutzerID;Typ;QuesID;Method;Answered;Sort;Impact;Occurrence;X1pct;Y1pct;X2pct;Y2pct;Duration
881;Chance;317;classic;ja;62;2;4;;;;;12
881;Risiko;318;classic;ja;63;4;3;;;;;11
881;Chance;319;classic;ja;64;3;4;;;;;17
881;Chance;322;classic;ja;65;4;4;;;;;7
881;Chance;323;classic;ja;66;3;4;;;;;9
881;Risiko;324;classic;ja;67;4;3;;;;;19
881;Risiko;340;classic;ja;68;3;3;;;;;14
881;Risiko;341;classic;ja;69;4;2;;;;;13
881;Risiko;342;classic;ja;70;2;3;;;;;13
881;Risiko;343;classic;ja;71;2;5;;;;;23
881;Chance;325;classic;ja;72;4;5;;;;;12
881;Risiko;326;classic;ja;73;3;4;;;;;10
881;Risiko;327;classic;ja;74;3;4;;;;;18
881;Risiko;328;classic;ja;75;3;4;;;;;6
881;Risiko;329;classic;ja;76;3;3;;;;;14
881;Risiko;330;classic;ja;77;3;4;;;;;11
881;Risiko;331;classic;ja;78;4;3;;;;;6
881;Chance;332;classic;ja;79;3;5;;;;;11
881;Risiko;333;classic;ja;80;4;3;;;;;11
881;Risiko;334;classic;ja;81;4;2;;;;;5
881;Risiko;335;classic;ja;82;4;4;;;;;12
881;Risiko;336;classic;ja;83;4;4;;;;;6
881;Risiko;337;classic;ja;84;4;3;;;;;9
881;Risiko;338;classic;ja;85;3;3;;;;;9
881;Risiko;339;classic;ja;86;3;1;;;;;14
529;Risiko;344;classic;ja;1;4;3;;;;;65
529;Risiko;345;classic;ja;2;4;4;;;;;15
529;Chance;346;classic;ja;3;4;4;;;;;23
529;Risiko;347;classic;ja;4;3;3;;;;;14
529;Risiko;348;classic;ja;5;3;2;;;;;19
529;Risiko;349;classic;ja;6;3;4;;;;;16
529;Risiko;350;classic;ja;7;3;4;;;;;11
529;Risiko;351;classic;ja;8;4;4;;;;;21
529;Risiko;352;classic;ja;9;3;3;;;;;15
529;Risiko;353;classic;ja;10;4;1;;;;;27
529;Risiko;354;classic;ja;11;4;3;;;;;18
529;Risiko;355;classic;ja;12;4;4;;;;;15
529;Risiko;356;classic;ja;13;2;3;;;;;12
529;Risiko;357;classic;ja;14;3;2;;;;;15
529;Risiko;358;classic;ja;15;3;3;;;;;15
529;Risiko;359;classic;ja;16;4;4;;;;;11
529;Risiko;360;classic;ja;17;4;2;;;;;19
529;Risiko;361;classic;ja;18;4;5;;;;;14
529;Risiko;362;classic;ja;19;5;3;;;;;15
529;Risiko;363;classic;ja;20;5;4;;;;;13
529;Chance;364;classic;ja;21;3;3;;;;;15
529;Risiko;365;classic;ja;22;3;2;;;;;11
529;Chance;366;classic;ja;23;2;3;;;;;12
529;Chance;297;classic;ja;24;4;5;;;;;19
529;Risiko;298;classic;ja;25;3;1;;;;;14
529;Risiko;281;classic;ja;26;4;1;;;;;17
529;Risiko;282;classic;ja;27;4;2;;;;;12
529;Risiko;283;classic;ja;28;5;3;;;;;13
529;Risiko;284;classic;ja;29;5;2;;;;;12
529;Risiko;285;classic;ja;30;2;1;;;;;13
529;Risiko;286;classic;ja;31;3;3;;;;;14
